Aarav Sharma,9876543210,qrc:/images/user.png,10:15 AM,1,0
Priya Verma,9123456789,qrc:/images/user.png,09:30 AM,0,1
Rohan Mehta,9988776655,qrc:/images/user.png,Yesterday,1,0
Ishita Singh,9876123456,qrc:/images/user.png,11:45 AM,0,1
Arjun Nair,9765432189,qrc:/images/user.png,Yesterday,1,0
Neha Patel,9090909090,qrc:/images/user.png,08:10 AM,0,1
Karan Malhotra,9812345678,qrc:/images/user.png,Yesterday,1,0
Ananya Iyer,9822334455,qrc:/images/user.png,07:55 AM,0,1
Siddharth Rao,9876501234,qrc:/images/user.png,Yesterday,1,0
Meera Kapoor,9911223344,qrc:/images/user.png,09:00 PM,0,1
